name,id,artists
Work,72TFWvU3wUYdUuxejTTIzt,"['5pKCCKE2ajJHZ9KAiaK11H', '3TVXtAsR1Inumwj472S9r4']"
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",7t2bFihaDvhIrd2gn2CWJO,"['7c0XG5cIJTrrAgEC3ULPiq', '1Xyo4u8uXC1ZmMpatF05PJ', '137W8MRPWKqSmrBGDBFSop']"
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",6Ec5LeRzkisa5KJtwLfOoW,"['0iEtIxbK0KxaSlF7G42ZOp', '13ubrt8QOOCPljQ2FL1Kca']"
Lean On,01aTsQoKoeXofSTvKuunzv,"['738wLrAtLtCtFOLvQBXOXp', '540vIaP2JwjQb9dm3aArA4']"
Loyal (feat. Lil Wayne & Tyga),5BrTUo0xP1wKXLJWUaGFtk,"['55Aa2cqylxrFIXC767Z865', '5LHRHt1k9lMyONurDHEdrp']"
More Than You Know,6h5PAsRni4IRlxWr6uDPTP,"['2XnBwblw31dfGnspMIwgWz', '1xNmvlEiICkRlRGqlNFZ43', '6hyMWrxGBsOx6sWcVj1DqP']"
Señorita,6v3KW9xbzN5yKLt9YKDYA2,"['7n2wHs1TKAczGzO7Dd2rGr', '4nDoRrQiYLoBzwC5BhVJzF']"
Where Them Girls At (feat. Nicki Minaj & Flo Rida),7ks6AZmFcm3Y6PGGxGSmlB,"['1Cs0zKBU1kc0i8ypK3B9ai', '0hCNtLu0JehylgoiP8L4Gh']"
Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,"['5f7VJjfbwm532GiveGC0ZK', '2hlmm7s2ICUX0LVIhVFlZQ']"
CARNIVAL,2McT2fkH0VDqPsbiB9HWPq,"['5K4W6rqBFWDnAN6FQUkS6x', '7c0XG5cIJTrrAgEC3ULPiq']"
Devil In A New Dress,1UGD3lW3tDmgZfAVDh6w7r,"['5K4W6rqBFWDnAN6FQUkS6x', '1sBkRIssrMs1AbVkOJbc7a']"
The Life of a Showgirl (feat. Sabrina Carpenter),5eXgqtg3T8Av0m1FUaGHex,"['06HL4z0CvFAxyc27GXpf02', '74KM79TiuVKeVCqs8QtB0B']"
Wake Up in the Sky,2G1tXoGBaEMJ7FKGnkf6ud,"['13y7CgLHjMVRMDqxdx0Xdo', '0du5cEVh5yTK9QJze8zA0C', '46SHBwWsqBkxI7EeeBEQG7']"
Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,"['6fWVd57NKTalqvmjRd2t8Z', '6ASri4ePR7RlsvIQgWPJpS']"
Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,"['31W5EY0aAly4Qieq6OFu6I', '46SHBwWsqBkxI7EeeBEQG7']"
MIA,3gE4eQH3K83Sght0ZLvuBK,"['4q3ewBCX7sLwd24euuV69X', '3TVXtAsR1Inumwj472S9r4']"
Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,"['3TVXtAsR1Inumwj472S9r4', '3DbwFQlvLxRSi2uX8mf81A', '7tYKF4w9nC0nq9CsPZTHyP']"
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,"['60d24wfXkVzDSfLS6hyCjZ', '6M2wZ9GZgrQXHCFfjv46we']"
Without You (feat. Usher),3UN6cIn3VIyg0z1LCuFSum,"['1Cs0zKBU1kc0i8ypK3B9ai', '23zg3TcAtWQy7J6upgbUnj']"
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",3tFed7YsjGnIfxeLEQwx3R,"['3DbwFQlvLxRSi2uX8mf81A', '55Aa2cqylxrFIXC767Z865']"
Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B,"['3TVXtAsR1Inumwj472S9r4', '4fxd5Ee7UefO4CUXgwJ7IP']"
No Church In The Wild,7r6PigmGzlB3YPB7wvBBbi,"['5K4W6rqBFWDnAN6FQUkS6x', '2h93pZq0e7k5yf4dywlkpM']"
Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,"['246dkjvS1zLTtiykXe5h60', '0Y5tJX1MQlPlqiwlOH1tJY']"
Enemy (with JID) - from the series Arcane League of Legends,3CIyK1V4JEJkg02E4EJnDl,"['53XhwfbYqKCa1cC15pYq2q', '47mIJdHORyRerp4os813jD']"
